[응답자 특성],,,,,,,,,,,,,,,,
,,전체,고객 타입,,사용자*연령1,,사용자*연령2,,,,이탈자*연령1,,이탈자*연령2,,,
,,,사용자,이탈자,사용자/19~29세,사용자/30~39세,사용자/19~24세,사용자/25~29세,사용자/30~34세,사용자/35~39세,이탈자/19~29세,이탈자/30~39세,이탈자/19~24세,이탈자/25~29세,이탈자/30~34세,이탈자/35~39세
Base for %,,(300),(150),(150),(79),(71),(30),(49),(48),(23),(75),(75),(27),(48),(48),(27)
,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
고객 타입,사용자,50.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,
,이탈자,50.0,,100.0,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0
사용자*연령1,사용자/19~29세,52.7,52.7,,100.0,,100.0,100.0,,,,,,,,
,사용자/30~39세,47.3,47.3,,,100.0,,,100.0,100.0,,,,,,
사용자*연령2,사용자/19~24세,20.0,20.0,,38.0,,100.0,,,,,,,,,
,사용자/25~29세,32.7,32.7,,62.0,,,100.0,,,,,,,,
,사용자/30~34세,32.0,32.0,,,67.6,,,100.0,,,,,,,
,사용자/35~39세,15.3,15.3,,,32.4,,,,100.0,,,,,,
이탈자*연령1,이탈자/19~29세,50.0,,50.0,,,,,,,100.0,,100.0,100.0,,
,이탈자/30~39세,50.0,,50.0,,,,,,,,100.0,,,100.0,100.0
이탈자*연령2,이탈자/19~24세,18.0,,18.0,,,,,,,36.0,,100.0,,,
,이탈자/25~29세,32.0,,32.0,,,,,,,64.0,,,100.0,,
,이탈자/30~34세,32.0,,32.0,,,,,,,,64.0,,,100.0,
,이탈자/35~39세,18.0,,18.0,,,,,,,,36.0,,,,100.0
,,,,,,,,,,,,,,,,
Q1. 연령,,,,,,,,,,,,,,,,
,전체,고객 타입,,사용자*연령1,,사용자*연령2,,,,이탈자*연령1,,이탈자*연령2,,,,
,,사용자,이탈자,사용자/19~29세,사용자/30~39세,사용자/19~24세,사용자/25~29세,사용자/30~34세,사용자/35~39세,이탈자/19~29세,이탈자/30~39세,이탈자/19~24세,이탈자/25~29세,이탈자/30~34세,이탈자/35~39세,
Base for %,(300),(150),(150),(79),(71),(30),(49),(48),(23),(75),(75),(27),(48),(48),(27),
2) 19－24세,19.0,20.0,18.0,38.0,,100.0,,,,36.0,,100.0,,,,
3) 25－29세,32.3,32.7,32.0,62.0,,,100.0,,,64.0,,,100.0,,,
4) 30 - 34세,32.0,32.0,32.0,,67.6,,,100.0,,,64.0,,,100.0,,
5) 35 - 39세,16.7,15.3,18.0,,32.4,,,,100.0,,36.0,,,,100.0,
      계,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
[평균:세],29.51,29.29,29.73,25.62,33.38,22.87,27.31,31.90,36.48,25.83,33.63,23.00,27.42,31.75,36.96,
,,,,,,,,,,,,,,,,
Q4-3. 비오템 제품 사용 개수_[스킨 케어],,,,,,,,,,,,,,,,
,전체,고객 타입,이탈자*연령1,,이탈자*연령2,,,,,,,,,,,
,,이탈자,이탈자/19~29세,이탈자/30~39세,이탈자/19~24세,이탈자/25~29세,이탈자/30~34세,이탈자/35~39세,,,,,,,,
Base for %,(150),(150),(75),(75),(27),(48),(48),(27),,,,,,,,
2.00,44.0,44.0,48.0,40.0,48.1,47.9,37.5,44.4,,,,,,,,
3.00,28.7,28.7,29.3,28.0,25.9,31.3,29.2,25.9,,,,,,,,
4.00,13.3,13.3,10.7,16.0,18.5,6.3,16.7,14.8,,,,,,,,
5.00,8.0,8.0,4.0,12.0,3.7,4.2,12.5,11.1,,,,,,,,
6.00,0.7,0.7,1.3,,,2.1,,,,,,,,,,
7.00,1.3,1.3,2.7,,,4.2,,,,,,,,,,
8.00,0.7,0.7,1.3,,,2.1,,,,,,,,,,
9.00,0.7,0.7,,1.3,,,,3.7,,,,,,,,
10.00,1.3,1.3,2.7,,3.7,2.1,,,,,,,,,,
30.00,1.3,1.3,,2.7,,,4.2,,,,,,,,,
      계,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,
[평균:개],3.45,3.45,3.11,3.80,3.04,3.15,4.17,3.15,,,,,,,,
,,,,,,,,,,,,,,,,
Q4-3. 비오템 제품 사용 개수_[메이크업],,,,,,,,,,,,,,,,
,전체,고객 타입,이탈자*연령1,,이탈자*연령2,,,,,,,,,,,
,,이탈자,이탈자/19~29세,이탈자/30~39세,이탈자/19~24세,이탈자/25~29세,이탈자/30~34세,이탈자/35~39세,,,,,,,,
Base for %,(150),(150),(75),(75),(27),(48),(48),(27),,,,,,,,
